"btrim","btrim","st_astext","st_asgeojson"
"66","Brisbane MegaPoP","POINT(153.028977427823 -27.466339338158)","{""type"":""MultiPolygon"",""coordinates"":[[[[153.028952000000004,-27.466100999999998],[153.02923899999999,-27.466394999999999],[153.02900600000001,-27.46658],[153.028714000000008,-27.466280000000001],[153.028952000000004,-27.466100999999998]]]]}"
"156","20 Wharf Street","POINT(153.029639666349 -27.4654902041958)","{""type"":""MultiPolygon"",""coordinates"":[[[[153.029774000000003,-27.465309000000001],[153.029876999999999,-27.465413999999999],[153.029709999999994,-27.465541999999999],[153.029730000000001,-27.465565999999999],[153.029593000000006,-27.465675999999998],[153.029537000000005,-27.465620000000001],[153.029387000000014,-27.465464999999998],[153.029460999999998,-27.465406999999999],[153.02946,-27.465411],[153.029537000000005,-27.465485000000001],[153.029540999999995,-27.465489000000002],[153.029774000000003,-27.465309000000001]]]]}"
"459","Sydney MegaPoP","POINT(151.204509793193 -33.8648735770867)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.204362000000003,-33.864839000000003],[151.204359000000011,-33.864807999999996],[151.204466999999994,-33.864789000000002],[151.204550000000012,-33.864767000000001],[151.204617000000013,-33.864750000000001],[151.204628000000014,-33.864749000000003],[151.204649999999987,-33.864958000000001],[151.20447999999999,-33.864970999999997],[151.20447999999999,-33.864972999999999],[151.204383000000007,-33.864981999999998],[151.204365999999993,-33.864839000000003],[151.204362000000003,-33.864839000000003]]]]}"
"1175","Melbourne MegaPoP","POINT(144.961527729597 -37.8188431159575)","{""type"":""MultiPolygon"",""coordinates"":[[[[144.961262000000005,-37.818679000000003],[144.961407000000008,-37.818634000000003],[144.961451000000011,-37.818620000000003],[144.961520000000007,-37.818770000000001],[144.961712000000006,-37.818714],[144.961713000000003,-37.818713000000002],[144.961815999999999,-37.818936999999998],[144.961433,-37.819051999999999],[144.961262000000005,-37.818679000000003]]]]}"
"1266","190 City Rd","POINT(144.961435528302 -37.8243569424344)","{""type"":""MultiPolygon"",""coordinates"":[[[[144.96113600000001,-37.824478999999997],[144.961180000000013,-37.824345000000001],[144.961239000000006,-37.824157999999997],[144.961282000000011,-37.824165999999998],[144.961828999999994,-37.824280999999999],[144.961827999999997,-37.824283000000001],[144.961500999999998,-37.824556999999999],[144.96113600000001,-37.824478999999997]]]]}"
"1332","Canberra MidiPoP","POINT(149.1320125 -35.2724255)","{""type"":""MultiPolygon"",""coordinates"":[[[[149.13226499999999,-35.272592000000003],[149.131716000000011,-35.272531999999998],[149.131760000000014,-35.272258999999998],[149.132308999999992,-35.272319000000003],[149.13226499999999,-35.272592000000003]]]]}"
"1366","MT Data Centre North Ryde","POINT(151.127644414424 -33.7806632820621)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.127657999999997,-33.780248999999998],[151.128030999999993,-33.780512000000002],[151.128017,-33.780524999999997],[151.128091000000012,-33.780577000000001],[151.128050999999999,-33.780616999999999],[151.128079000000014,-33.780636999999999],[151.127558999999991,-33.781139000000003],[151.127292000000011,-33.780946],[151.127488,-33.780760000000001],[151.127298999999994,-33.780631999999997],[151.127317000000005,-33.780616000000002],[151.127237000000008,-33.780562000000003],[151.127431000000001,-33.780377000000001],[151.127410999999995,-33.780363000000001],[151.127440000000007,-33.780337000000003],[151.127460000000013,-33.780355],[151.127518000000009,-33.780293999999998],[151.127557999999993,-33.780323000000003],[151.127609000000007,-33.780268999999997],[151.127625999999992,-33.780282999999997],[151.127657999999997,-33.780248999999998]]]]}"
"1442","117 Wicks Road (formerly Unisys)","POINT(151.132599165849 -33.7900829034765)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.132598000000002,-33.790142000000003],[151.132531,-33.790090999999997],[151.132597000000004,-33.790024000000003],[151.132668999999993,-33.790075000000002],[151.132598000000002,-33.790142000000003]]]]}"
"1622","55 Pyrmont Bridge Rd","POINT(151.194615806576 -33.8723621133831)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.194272000000012,-33.872159000000003],[151.194537999999994,-33.871873000000001],[151.194546000000003,-33.871868999999997],[151.194992000000013,-33.87265],[151.194632000000013,-33.872788999999997],[151.194272000000012,-33.872159000000003]]]]}"
"1635","Equinix SY1","POINT(151.18822249796 -33.9212023983706)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.187951999999996,-33.920918999999998],[151.187972000000002,-33.920921999999997],[151.187981000000008,-33.920876999999997],[151.188002000000012,-33.920879999999997],[151.188009999999991,-33.920831999999997],[151.187991000000011,-33.920828999999998],[151.188001000000014,-33.920779000000003],[151.188040000000001,-33.920785000000002],[151.188038000000006,-33.920794000000001],[151.188074,-33.920799000000002],[151.188082000000009,-33.920763000000001],[151.188130999999998,-33.920769999999997],[151.188129000000004,-33.920779000000003],[151.188140000000004,-33.920780000000001],[151.188209000000001,-33.920791000000001],[151.188209999999998,-33.920782000000003],[151.188260000000014,-33.920788999999999],[151.188250000000011,-33.920833999999999],[151.188287000000003,-33.920839000000001],[151.188289999999995,-33.920820999999997],[151.188350000000014,-33.920830000000002],[151.18833699999999,-33.920895999999999],[151.188335999999993,-33.920896999999997],[151.188389999999998,-33.920904999999998],[151.188395000000014,-33.920904],[151.188397000000009,-33.920892000000002],[151.188457,-33.920900000000003],[151.188454000000007,-33.920912000000001],[151.188437999999991,-33.920990000000003],[151.188578000000007,-33.921010000000003],[151.188443000000007,-33.921658000000001],[151.188125000000014,-33.921612000000003],[151.188159000000013,-33.921450999999998],[151.187849999999997,-33.921407000000002],[151.187951999999996,-33.920918999999998]]]]}"
